date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,currency,change,changePercent,label,changeOverTime,symbol
2003-04-01,25.45,25.44,25.67,25.25,73500900,25.45,25.44,25.67,25.25,73500900,,0,0,"Apr 1, 03",0,QQQ
2003-04-02,26.36,26.06,26.56,26.03,75989500,26.36,26.06,26.56,26.03,75989500,,0.91,3.5756,"Apr 2, 03",0.035756,QQQ
2003-04-03,26.48,26.64,26.85,26.31,71132900,26.48,26.64,26.85,26.31,71132900,,0.12,0.4552,"Apr 3, 03",0.040472,QQQ
2003-04-04,26.05,26.57,26.6,25.16,65756700,26.05,26.57,26.6,25.16,65756700,,-0.43,-1.6239,"Apr 4, 03",0.023576,QQQ
2003-04-07,26.09,27.11,27.2,26.07,83899400,26.09,27.11,27.2,26.07,83899400,,0.04,0.1536,"Apr 7, 03",0.025147,QQQ
2003-04-08,26.06,26.15,26.29,25.88,54286100,26.06,26.15,26.29,25.88,54286100,,-0.03,-0.115,"Apr 8, 03",0.023969,QQQ
2003-04-09,25.46,26.1,26.62,25.41,76557800,25.46,26.1,26.62,25.41,76557800,,-0.6,-2.3024,"Apr 9, 03",0.000393,QQQ
2003-04-10,25.77,25.46,25.77,25.3,57254700,25.77,25.46,25.77,25.3,57254700,,0.31,1.2176,"Apr 10, 03",0.012574,QQQ
2003-04-11,25.51,26.02,26.17,25.36,67995900,25.51,26.02,26.17,25.36,67995900,,-0.26,-1.0089,"Apr 11, 03",0.002358,QQQ
2003-04-14,26.03,25.6,26.14,25.49,53429000,26.03,25.6,26.14,25.49,53429000,,0.52,2.0384,"Apr 14, 03",0.02279,QQQ
2003-04-15,26.28,25.97,26.46,25.85,64669300,26.28,25.97,26.46,25.85,64669300,,0.25,0.9604,"Apr 15, 03",0.032613,QQQ
2003-04-16,26.22,26.65,26.83,26.12,70747400,26.22,26.65,26.83,26.12,70747400,,-0.06,-0.2283,"Apr 16, 03",0.030255,QQQ
2003-04-17,26.82,26.16,26.98,26.15,70280500,26.82,26.16,26.98,26.15,70280500,,0.6,2.2883,"Apr 17, 03",0.053831,QQQ
2003-04-21,26.92,26.95,27.11,26.62,52751600,26.92,26.95,27.11,26.62,52751600,,0.1,0.3729,"Apr 21, 03",0.05776,QQQ
2003-04-22,27.43,26.74,27.46,26.65,70911000,27.43,26.74,27.46,26.65,70911000,,0.51,1.8945,"Apr 22, 03",0.0778,QQQ
2003-04-23,27.63,27.5,27.75,27.26,70580300,27.63,27.5,27.75,27.26,70580300,,0.2,0.7291,"Apr 23, 03",0.085658,QQQ
2003-04-24,27.48,27.36,27.75,27.27,72541100,27.48,27.36,27.75,27.27,72541100,,-0.15,-0.5429,"Apr 24, 03",0.079764,QQQ
2003-04-25,26.95,27.32,27.42,26.86,63355800,26.95,27.32,27.42,26.86,63355800,,-0.53,-1.9287,"Apr 25, 03",0.058939,QQQ
2003-04-28,27.48,27.05,27.63,26.95,59687600,27.48,27.05,27.63,26.95,59687600,,0.53,1.9666,"Apr 28, 03",0.079764,QQQ
2003-04-29,27.73,27.64,28.06,27.41,80374000,27.73,27.64,28.06,27.41,80374000,,0.25,0.9098,"Apr 29, 03",0.089587,QQQ
2003-04-30,27.45,27.65,27.79,27.43,60442200,27.45,27.65,27.79,27.43,60442200,,-0.28,-1.0097,"Apr 30, 03",0.078585,QQQ
2003-05-01,27.69,27.44,27.87,27.19,66067300,27.69,27.44,27.87,27.19,66067300,,0.24,0.8743,"May 1, 03",0.088016,QQQ
2003-05-02,27.69,0,0,0,0,27.69,0,0,0,0,,0,0,"May 2, 03",0.088016,QQQ
2003-05-05,28.25,28.33,28.71,28.17,80682100,28.25,28.32,28.71,28.17,80682100,,0.56,2.0224,"May 5, 03",0.11002,QQQ
2003-05-06,28.61,28.22,28.9,28.21,77630500,28.61,28.22,28.9,28.21,77630500,,0.36,1.2743,"May 6, 03",0.124165,QQQ
2003-05-07,28.29,28.41,28.69,28.12,70379800,28.29,28.41,28.69,28.12,70379800,,-0.32,-1.1185,"May 7, 03",0.111591,QQQ
2003-05-08,27.77,27.86,28.19,27.76,80340700,27.77,27.86,28.19,27.76,80340700,,-0.52,-1.8381,"May 8, 03",0.091159,QQQ
2003-05-09,28.41,28.04,28.48,28,58582400,28.41,28.04,28.48,28,58582400,,0.64,2.3046,"May 9, 03",0.116306,QQQ
2003-05-12,28.84,28.36,28.96,28.17,67616300,28.84,28.36,28.96,28.17,67616300,,0.43,1.5136,"May 12, 03",0.133202,QQQ
2003-05-13,28.66,28.63,28.99,28.54,65188300,28.66,28.63,28.99,28.54,65188300,,-0.18,-0.6241,"May 13, 03",0.12613,QQQ
2003-05-14,28.6,28.87,28.97,28.36,62241700,28.6,28.87,28.97,28.36,62241700,,-0.06,-0.2094,"May 14, 03",0.123772,QQQ
2003-05-15,28.92,28.75,28.98,28.56,62498100,28.92,28.75,28.98,28.56,62498100,,0.32,1.1189,"May 15, 03",0.136346,QQQ
2003-05-16,28.7,28.73,28.94,28.48,70647500,28.7,28.73,28.94,28.48,70647500,,-0.22,-0.7607,"May 16, 03",0.127701,QQQ
2003-05-19,27.69,28.52,28.68,27.61,91768100,27.69,28.52,28.68,27.61,91768100,,-1.01,-3.5192,"May 19, 03",0.088016,QQQ
2003-05-20,27.77,27.76,27.96,27.41,72020400,27.77,27.76,27.96,27.41,72020400,,0.08,0.2889,"May 20, 03",0.091159,QQQ
2003-05-21,27.69,27.65,27.75,27.44,64121500,27.69,27.65,27.75,27.44,64121500,,-0.08,-0.2881,"May 21, 03",0.088016,QQQ
2003-05-22,28.09,27.76,28.32,27.62,62475900,28.09,27.76,28.32,27.62,62475900,,0.4,1.4446,"May 22, 03",0.103733,QQQ
2003-05-23,28.1,28.04,28.25,27.95,37940600,28.1,28.04,28.25,27.95,37940600,,0.01,0.0356,"May 23, 03",0.104126,QQQ
2003-05-27,29.1,27.93,29.22,27.9,101576300,29.1,27.93,29.22,27.9,101576300,,1,3.5587,"May 27, 03",0.143418,QQQ
2003-05-28,29.19,29.16,29.4,28.96,76402500,29.19,29.16,29.4,28.96,76402500,,0.09,0.3093,"May 28, 03",0.146955,QQQ
2003-05-29,29.31,29.23,29.8,29.16,97639000,29.31,29.23,29.8,29.16,97639000,,0.12,0.4111,"May 29, 03",0.15167,QQQ
2003-05-30,29.79,29.53,29.87,29.45,78165500,29.79,29.53,29.87,29.45,78165500,,0.48,1.6377,"May 30, 03",0.17053,QQQ
