date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,currency,change,changePercent,label,changeOverTime,symbol
2003-04-01,86.04,85.25,86.39,84.91,53821200,86.04,85.25,86.39,84.91,53821200,,0,0,"Apr 1, 03",0,SPY
2003-04-02,88.12,87.54,88.77,87.5,50500600,88.12,87.54,88.77,87.5,50500600,,2.08,2.4175,"Apr 2, 03",0.024175,SPY
2003-04-03,87.7,88.87,88.99,87.65,49012500,87.7,88.87,88.99,87.65,49012500,,-0.42,-0.4766,"Apr 3, 03",0.019293,SPY
2003-04-04,88.22,88.43,88.59,87.62,36261800,88.22,88.43,88.59,87.62,36261800,,0.52,0.5929,"Apr 4, 03",0.025337,SPY
2003-04-07,88.05,90.34,90.85,87.97,69824800,88.05,90.34,90.85,87.97,69824800,,-0.17,-0.1927,"Apr 7, 03",0.023361,SPY
2003-04-08,88.19,88.3,88.65,87.71,39742600,88.19,88.3,88.65,87.71,39742600,,0.14,0.159,"Apr 8, 03",0.024988,SPY
2003-04-09,87.03,88.36,89.1,86.77,55678700,87.03,88.36,89.1,86.77,55678700,,-1.16,-1.3153,"Apr 9, 03",0.011506,SPY
2003-04-10,87.51,87.1,87.63,85.71,42127300,87.51,87.09,87.63,85.71,42127300,,0.48,0.5515,"Apr 10, 03",0.017085,SPY
2003-04-11,87.15,88.16,88.7,86.86,47736500,87.15,88.16,88.7,86.86,47736500,,-0.36,-0.4114,"Apr 11, 03",0.012901,SPY
2003-04-14,88.95,87.47,89,87,36956200,88.95,87.47,89,87,36956200,,1.8,2.0654,"Apr 14, 03",0.033821,SPY
2003-04-15,89.78,88.84,89.78,88.42,49972500,89.78,88.84,89.78,88.42,49972500,,0.83,0.9331,"Apr 15, 03",0.043468,SPY
2003-04-16,88.25,89.91,90.07,88.03,51813300,88.25,89.91,90.07,88.03,51813300,,-1.53,-1.7042,"Apr 16, 03",0.025686,SPY
2003-04-17,89.48,88.3,89.72,88.19,37483700,89.48,88.3,89.72,88.19,37483700,,1.23,1.3938,"Apr 17, 03",0.039981,SPY
2003-04-21,89.65,89.86,90.16,89.06,32082900,89.65,89.86,90.16,89.06,32082900,,0.17,0.19,"Apr 21, 03",0.041957,SPY
2003-04-22,91.34,89.1,91.56,88.89,59864600,91.34,89.1,91.56,88.89,59864600,,1.69,1.8851,"Apr 22, 03",0.061599,SPY
2003-04-23,92.18,91.62,92.35,91.24,44250600,92.18,91.62,92.35,91.24,44250600,,0.84,0.9196,"Apr 23, 03",0.071362,SPY
2003-04-24,91.36,91.53,92.08,90.96,50022800,91.36,91.53,92.08,90.96,50022800,,-0.82,-0.8896,"Apr 24, 03",0.061832,SPY
2003-04-25,90.23,91.3,91.47,90.02,43926100,90.23,91.3,91.47,90.02,43926100,,-1.13,-1.2369,"Apr 25, 03",0.048698,SPY
2003-04-28,91.79,90.44,92.19,90.3,46469600,91.79,90.44,92.19,90.3,46469600,,1.56,1.7289,"Apr 28, 03",0.066829,SPY
2003-04-29,91.79,92.14,92.8,91.4,52343200,91.79,92.14,92.8,91.4,52343200,,0,0,"Apr 29, 03",0.066829,SPY
2003-04-30,91.91,91.91,92.57,91.41,48917000,91.91,91.91,92.57,91.41,48917000,,0.12,0.1307,"Apr 30, 03",0.068224,SPY
2003-05-01,91.9,91.92,92.73,90.5,50406800,91.9,91.92,92.73,90.5,50406800,,-0.01,-0.0109,"May 1, 03",0.068108,SPY
2003-05-02,93.21,91.56,93.47,91.49,50237800,93.21,91.56,93.47,91.49,50237800,,1.31,1.4255,"May 2, 03",0.083333,SPY
2003-05-05,93.03,93.47,93.78,92.5,35456200,93.03,93.47,93.78,92.5,35456200,,-0.18,-0.1931,"May 5, 03",0.081241,SPY
2003-05-06,93.91,93.04,94.38,93,44585200,93.91,93.04,94.38,93,44585200,,0.88,0.9459,"May 6, 03",0.091469,SPY
2003-05-07,93.39,93.42,94.14,92.97,41442100,93.39,93.42,94.14,92.97,41442100,,-0.52,-0.5537,"May 7, 03",0.085425,SPY
2003-05-08,92.45,92.52,93.34,92.28,40769000,92.45,92.52,93.34,92.28,40769000,,-0.94,-1.0065,"May 8, 03",0.0745,SPY
2003-05-09,93.73,92.83,93.8,92.61,33640300,93.73,92.83,93.8,92.61,33640300,,1.28,1.3845,"May 9, 03",0.089377,SPY
2003-05-12,94.88,93.5,95.12,93.28,35681600,94.88,93.5,95.12,93.28,35681600,,1.15,1.2269,"May 12, 03",0.102743,SPY
2003-05-13,94.71,94.53,95.19,94.26,39297000,94.71,94.53,95.19,94.26,39297000,,-0.17,-0.1792,"May 13, 03",0.100767,SPY
2003-05-14,94.51,95.09,95.24,93.91,32234200,94.51,95.09,95.24,93.91,32234200,,-0.2,-0.2112,"May 14, 03",0.098443,SPY
2003-05-15,95.11,94.89,95.33,94.25,43933800,95.11,94.89,95.33,94.25,43933800,,0.6,0.6349,"May 15, 03",0.105416,SPY
2003-05-16,94.87,94.89,95.45,94.26,38905900,94.87,94.89,95.45,94.26,38905900,,-0.24,-0.2523,"May 16, 03",0.102627,SPY
2003-05-19,92.65,94.15,94.89,92.33,43237800,92.65,94.15,94.89,92.33,43237800,,-2.22,-2.34,"May 19, 03",0.076825,SPY
2003-05-20,92.46,92.82,93.03,91.6,55454400,92.46,92.82,93.03,91.6,55454400,,-0.19,-0.2051,"May 20, 03",0.074616,SPY
2003-05-21,92.65,92.11,92.88,91.91,49848500,92.65,92.11,92.88,91.91,49848500,,0.19,0.2055,"May 21, 03",0.076825,SPY
2003-05-22,93.57,92.95,94.05,92.68,38457100,93.57,92.95,94.05,92.68,38457100,,0.92,0.993,"May 22, 03",0.087517,SPY
2003-05-23,93.57,93.53,93.98,93.14,26158300,93.57,93.53,93.98,93.14,26158300,,0,0,"May 23, 03",0.087517,SPY
2003-05-27,95.4,93.3,95.84,93.18,43737900,95.4,93.3,95.84,93.18,43737900,,1.83,1.9558,"May 27, 03",0.108787,SPY
2003-05-28,95.67,95.85,96.47,95.43,37749900,95.67,95.85,96.47,95.43,37749900,,0.27,0.283,"May 28, 03",0.111925,SPY
2003-05-29,95.42,95.88,96.82,95.08,50979800,95.42,95.88,96.82,95.08,50979800,,-0.25,-0.2613,"May 29, 03",0.109019,SPY
2003-05-30,96.95,95.9,97.09,95.56,52537800,96.95,95.9,97.09,95.56,52537800,,1.53,1.6034,"May 30, 03",0.126801,SPY
2003-06-02,97.35,97.53,98.45,96.67,50701700,97.35,97.53,98.45,96.67,50701700,,0.4,0.4126,"Jun 2, 03",0.13145,SPY
2003-06-03,97.35,0,0,0,0,97.35,0,0,0,0,,0,0,"Jun 3, 03",0.13145,SPY
2003-06-04,99.16,97.66,99.35,97.57,49438100,99.16,97.66,99.35,97.57,49438100,,1.81,1.8593,"Jun 4, 03",0.152487,SPY
2003-06-05,99.65,98.58,99.65,98.27,46432100,99.65,98.58,99.65,98.27,46432100,,0.49,0.4942,"Jun 5, 03",0.158182,SPY
2003-06-06,99.26,100.4,101.4,99.13,60401100,99.26,100.4,101.4,99.13,60401100,,-0.39,-0.3914,"Jun 6, 03",0.153649,SPY
2003-06-09,98.25,98.77,99.1,97.77,38400100,98.25,98.77,99.1,97.77,38400100,,-1.01,-1.0175,"Jun 9, 03",0.141911,SPY
2003-06-10,99.25,98.46,99.26,98.19,30120200,99.25,98.46,99.26,98.19,30120200,,1,1.0178,"Jun 10, 03",0.153533,SPY
2003-06-11,100.3,99.16,100.39,98.71,37641900,100.3,99.16,100.39,98.71,37641900,,1.05,1.0579,"Jun 11, 03",0.165737,SPY
2003-06-12,100.61,100.75,100.9,99.62,36491400,100.61,100.75,100.9,99.62,36491400,,0.31,0.3091,"Jun 12, 03",0.16934,SPY
2003-06-13,99.56,100.61,100.75,98.95,48640800,99.56,100.61,100.75,98.95,48640800,,-1.05,-1.0436,"Jun 13, 03",0.157136,SPY
2003-06-16,101.66,99.96,101.7,99.8,36422100,101.66,99.96,101.7,99.8,36422100,,2.1,2.1093,"Jun 16, 03",0.181543,SPY
2003-06-17,101.66,102.07,102.18,101.23,36824400,101.66,102.07,102.18,101.23,36824400,,0,0,"Jun 17, 03",0.181543,SPY
2003-06-18,101.57,101.29,102.14,101,35552200,101.57,101.29,102.14,101,35552200,,-0.09,-0.0885,"Jun 18, 03",0.180497,SPY
2003-06-19,100.02,101.64,101.73,99.84,43570700,100.02,101.64,101.73,99.84,43570700,,-1.55,-1.526,"Jun 19, 03",0.162483,SPY
2003-06-20,99.44,100.39,100.5,99.42,41554900,99.44,100.39,100.5,99.42,41554900,,-0.58,-0.5799,"Jun 20, 03",0.155742,SPY
2003-06-23,98.42,99.45,99.66,97.92,34344600,98.42,99.45,99.66,97.92,34344600,,-1.02,-1.0257,"Jun 23, 03",0.143887,SPY
2003-06-24,98.52,98.22,99.09,98.02,36237900,98.52,98.22,99.09,98.02,36237900,,0.1,0.1016,"Jun 24, 03",0.145049,SPY
2003-06-25,97.53,98.53,99.44,97.53,47864500,97.53,98.53,99.44,97.53,47864500,,-0.99,-1.0049,"Jun 25, 03",0.133543,SPY
2003-06-26,98.8,97.78,98.98,96.96,33552000,98.8,97.78,98.98,96.96,33552000,,1.27,1.3022,"Jun 26, 03",0.148303,SPY
2003-06-27,97.66,98.75,99.19,97.58,54216000,97.66,98.75,99.19,97.58,54216000,,-1.14,-1.1538,"Jun 27, 03",0.135053,SPY
2003-06-30,97.63,98.22,98.67,97.47,33865300,97.63,98.22,98.67,97.47,33865300,,-0.03,-0.0307,"Jun 30, 03",0.134705,SPY
2003-07-01,98.53,97.25,98.85,96.43,51418400,98.53,97.25,98.85,96.43,51418400,,0.9,0.9218,"Jul 1, 03",0.145165,SPY
2003-07-02,99.77,98.77,99.79,98.57,34679700,99.77,98.77,99.79,98.57,34679700,,1.24,1.2585,"Jul 2, 03",0.159577,SPY
2003-07-03,98.74,99.07,99.85,97.9,30868400,98.74,99.07,99.85,97.9,30868400,,-1.03,-1.0324,"Jul 3, 03",0.147606,SPY
